code,name,总市值,流通市值,行业,总股本,流通股
688595,芯海科技,4371041418.4800005,4371041418.4800005,半导体,142425592.0,142425592.0
688596,正帆科技,9844053832.199999,9844053832.199999,专用设备,286998654.0,286998654.0
688597,煜邦电力,1722027437.2,1722027437.2,电网设备,247062760.0,247062760.0
688598,金博股份,4055962612.87,4055962612.87,光伏设备,137630221.0,137630221.0
688599,天合光能,38901666249.600006,38901666249.600006,光伏设备,2179365056.0,2179365056.0
688600,皖仪科技,1853588822.3999999,1853588822.3999999,仪器仪表,134708490.0,134708490.0
688601,力芯微,5861087968.0,3117580768.0000005,半导体,133692700.0,71112700.0
688602,XD康鹏科,4155000000.0,732744432.0,化学制品,519375000.0,91593054.0
688603,天承科技,3081838447.2599998,678926741.22,电子元件,58136926.0,12807522.0
688606,奥泰生物,3838778999.1,1915023347.1000001,医疗器械,79280855.0,39550255.0
688607,康众医疗,1137745738.57,1137745738.57,医疗器械,88129027.0,88129027.0
688608,恒玄科技,17007717776.52,17007717776.52,半导体,120034708.0,120034708.0
688609,九联科技,4555000000.0,4555000000.0,通信设备,500000000.0,500000000.0
688610,埃科光电,2452080000.0,519654710.1,仪器仪表,68000000.0,14410835.0
688611,杭州柯林,2985619000.0,2985619000.0,电网设备,109564000.0,109564000.0
688612,威迈斯,11403728976.78,912391200.0,汽车零部件,420957142.0,33680000.0
688613,奥精医疗,1724216148.48,1724216148.48,医疗器械,135551584.0,135551584.0
688616,西力科技,1717500000.0,1717500000.0,电网设备,150000000.0,150000000.0
688617,惠泰医疗,31121955842.79,31121955842.79,医疗器械,66861357.0,66861357.0
688618,三旺通信,2863310881.35,2854426094.4,通信设备,110339533.0,109997152.0
688619,罗普特,1369811967.5,1369811967.5,互联网服务,187645475.0,187645475.0
688620,安凯微,3194800000.0,734109758.5500001,半导体,392000000.0,90074817.0
688621,阳光诺和,5062400000.0,5062400000.0,医疗服务,112000000.0,112000000.0
688622,禾信仪器,1139561025.68,632355639.5200001,仪器仪表,69997606.0,38842484.0
688623,双元科技,3353982517.0,811466565.76,专用设备,59142700.0,14309056.0
688625,呈和科技,5155985293.8,5155985293.8,化学制品,135327698.0,135327698.0
688626,翔宇医疗,5353600000.0,5353600000.0,医疗器械,160000000.0,160000000.0
688627,精智达,4452396669.44,1007980355.84,专用设备,94011754.0,21283369.0
688628,优利德,3818434088.7,1683804870.3,仪器仪表,111324609.0,49090521.0
688629,华丰科技,10810281886.949999,1380671981.5,电子元件,460992831.0,58877270.0
688630,芯碁微装,8398993786.259999,8398993786.259999,专用设备,131419086.0,131419086.0
688631,莱斯信息,10033788600.0,2192406931.44,软件开发,163470000.0,35718588.0
688633,星球石墨,2796284972.45,2753064571.45,专用设备,146020103.0,143763163.0
688636,智明达,2436179005.33,2429978806.16,互联网服务,112111321.0,111825992.0
688638,誉辰智能,1738240000.0,413842010.56,电池,56000000.0,13332539.0
688639,华恒生物,12948227394.199999,12933926334.199999,化学制品,157540180.0,157366180.0
688646,逸飞激光,3051864838.56,610372980.54,专用设备,95162608.0,19032522.0
688648,中邮科技,2932160000.0,675289384.0,通用设备,136000000.0,31321400.0
688651,盛邦安全,2225024490.0,496528974.37,软件开发,75399000.0,16825787.0
688652,京仪装备,6948480000.0,1667635200.0,半导体,168000000.0,40320000.0
688653,康希通信,5488526400.0,709553946.66,半导体,424480000.0,54876562.0
688655,迅捷兴,1476627300.0,1476627300.0,电子元件,133390000.0,133390000.0
688656,浩欧博,1493851790.3200002,1493851790.3200002,医疗器械,63058328.0,63058328.0
688657,浩辰软件,2549160946.08,574337825.3399999,软件开发,65514288.0,14760674.0
688658,XD悦康药,8325000000.0,3785097780.0,化学制药,450000000.0,204599880.0
688659,元琛科技,952000000.0,952000000.0,环保行业,160000000.0,160000000.0
688660,电气风电,3880000194.0,3880000194.0,风电设备,1333333400.0,1333333400.0
688661,和林微纳,3560016960.83,3554423735.2799997,半导体,116836789.0,116653224.0
688662,富信科技,2161880000.0,2161880000.0,电子元件,88240000.0,88240000.0
688663,新风光,3270631500.0,3270631500.0,电网设备,139950000.0,139950000.0
688665,四方光电,2875873000.0,2875873000.0,仪器仪表,100100000.0,100100000.0
688667,菱电电控,2147613203.0,2147613203.0,汽车零部件,51812140.0,51812140.0
688668,鼎通科技,5479821017.0,5479821017.0,通信设备,138729646.0,138729646.0
688669,聚石化学,1391693340.98,705592752.4300001,塑料制品,121333334.0,61516369.0
688670,金迪克,1531376000.0,548605321.55,化学制药,123200000.0,44135585.0
688671,碧兴物联,1680304460.0,378933951.59999996,仪器仪表,78518900.0,17707194.0
688676,金盘科技,23533011005.0,23533011005.0,电网设备,456951670.0,456951670.0
688677,海泰新光,4942126790.030001,4942126790.030001,医疗器械,121637381.0,121637381.0
